player_id,player_name,age,nationality,team,jersey_number,position,height_cm,weight_kg,preferred_foot
P00055,Rodri Fati,26,Spanish,Spain,3,Goalkeeper,195,75,Left
P00070,Ansu Le Normand,19,Spanish,Spain,18,Midfielder,178,75,Right
P00066,Gavi Ramos,18,Spanish,Spain,14,Midfielder,177,72,Left
P00073,Pedro Cubarsi,20,Spanish,Spain,21,Forward,182,74,Right
P00059,Alvaro Oyarzabal,23,Spanish,Spain,7,Defender,191,81,Left
P00072,Dani Gavi,21,Spanish,Spain,20,Midfielder,181,78,Right
P00058,Rodri Laporte,27,Spanish,Spain,6,Defender,188,80,Right
P00078,Ansu Fati,27,Spanish,Spain,26,Forward,182,72,Right
P00056,Pedro Torres,24,Spanish,Spain,4,Defender,176,78,Left
P00074,Gavi Le Normand,25,Spanish,Spain,22,Forward,172,70,Right
P00069,Ferran Cubarsi,24,Spanish,Spain,17,Midfielder,181,81,Left
P00071,Marco Mikel,18,Spanish,Spain,19,Midfielder,183,70,Right
P00076,Alvaro Gavi,28,Spanish,Spain,24,Forward,183,75,Right
P00067,Rodri Alonso,25,Spanish,Spain,15,Midfielder,183,78,Right
P00057,Gavi Asensio,22,Spanish,Spain,5,Defender,187,76,Right
P00062,Marco Carvajal,33,Spanish,Spain,10,Defender,175,73,Right
P00077,Ferran Morata,26,Spanish,Spain,25,Forward,188,78,Right
P00064,Aymeric Yamal,27,Spanish,Spain,12,Defender,181,80,Left
P00061,Ansu Alba,28,Spanish,Spain,9,Defender,193,83,Right
P00068,Alvaro Llorente,19,Spanish,Spain,16,Midfielder,186,80,Right
P00060,Ferran Pau,35,Spanish,Spain,8,Defender,179,72,Right
P00075,Rodri Mikel,25,Spanish,Spain,23,Forward,173,73,Right
P00063,Dani Garcia,28,Spanish,Spain,11,Defender,183,80,Right
P00065,Pedro Riquelme,24,Spanish,Spain,13,Midfielder,171,67,Right
P00053,Pedro Gavi,36,Spanish,Spain,1,Goalkeeper,191,80,Left
P00054,Gavi Morata,27,Spanish,Spain,2,Goalkeeper,190,75,Left
P01225,Lyle Mvala,38,South African,South Africa,3,Goalkeeper,190,82,Right
P01241,Sphephelo Mbatha,27,South African,South Africa,19,Midfielder,178,76,Right
P01243,Percy Mkhize,24,South African,South Africa,21,Forward,187,75,Left
P01240,Mothobi Xoki,25,South African,South Africa,18,Midfielder,185,79,Right
P01228,Lyle Makgopa,27,South African,South Africa,6,Defender,181,72,Right
P01239,Ronwen Mkhize,26,South African,South Africa,17,Midfielder,183,74,Right
